mean_roll_SYM_H_7,mean_roll_SYM_H_12,mean_roll_GOES_flux_9,max_roll_AL_11,median_roll_GOES_flux_9,mean_roll_SYM_H_13,mean_roll_GOES_flux_13,median_roll_V_9,max_roll_GOES_flux_5,max_roll_V_3,mean_roll_V_8,mean_roll_GOES_flux_10,mean_roll_AL_10,max_roll_AL_3,max_roll_AL_8,mean_roll_AL_8,mean_roll_SYM_H_2,median_roll_GOES_flux_5,max_roll_GOES_flux_12,mean_roll_V_13,max_roll_V_6,median_roll_SYM_H_13,max_roll_GOES_flux_4,mean_roll_SYM_H_6,mean_roll_AL_12,max_roll_SYM_H_4,mean_roll_AL_13,max_roll_AL_9,median_roll_AL_4,mean_roll_AL_3,median_roll_AL_8,max_roll_SYM_H_5,mean_roll_V_5,mean_roll_V_6,max_roll_AL_4,median_roll_AL_3,max_roll_AL_5,median_roll_AL_2,mean_roll_V_4,max_roll_GOES_flux_3,max_roll_V_5,median_roll_SYM_H_7,median_roll_V_7,mean_roll_SYM_H_5,max_roll_SYM_H_6,mean_roll_GOES_flux_2,max_roll_AL_6,max_roll_V_7,max_roll_V_11,median_roll_AL_5,median_roll_AL_6,median_roll_SYM_H_9,mean_roll_AL_2,mean_roll_GOES_flux_8,max_roll_AL_13,mean_roll_SYM_H_4,max_roll_GOES_flux_13,mean_roll_GOES_flux_11,max_roll_SYM_H_12,median_roll_V_11,max_roll_V_12,median_roll_SYM_H_6,max_roll_SYM_H_10,mean_roll_AL_11,max_roll_V_10,mean_roll_AL_7,median_roll_SYM_H_3,median_roll_V_8,mean_roll_SYM_H_9,median_roll_SYM_H_1,median_roll_AL_10,median_roll_GOES_flux_12,mean_roll_SYM_H_10,max_roll_SYM_H_1,median_roll_AL_9,max_roll_GOES_flux_7,max_roll_GOES_flux_9,max_roll_GOES_flux_8,max_roll_V_13,max_roll_SYM_H_2,median_roll_AL_13,mean_roll_SYM_H_1,mean_roll_SYM_H_3,max_roll_SYM_H_11,mean_roll_V_11,median_roll_V_6,mean_roll_GOES_flux_6,mean_roll_GOES_flux_4,mean_roll_GOES_flux_5,mean_roll_AL_6,max_roll_AL_12,mean_roll_V_1,mean_roll_SYM_H_8,median_roll_AL_11,max_roll_GOES_flux_10,mean_roll_AL_9,median_roll_SYM_H_12,mean_roll_GOES_flux_3,max_roll_GOES_flux_11,median_roll_GOES_flux_10,median_roll_AL_7,max_roll_AL_10,max_roll_SYM_H_9,median_roll_V_5,mean_roll_AL_4,median_roll_GOES_flux_2,max_roll_GOES_flux_2,max_roll_SYM_H_7,max_roll_V_2,median_roll_AL_12,mean_roll_AL_1,median_roll_AL_1,mean_roll_AL_5,max_roll_AL_2,max_roll_GOES_flux_1,mean_roll_GOES_flux_7,median_roll_SYM_H_5,median_roll_GOES_flux_1,max_roll_SYM_H_3,max_roll_AL_7,max_roll_GOES_flux_6,median_roll_SYM_H_11,Epoch,Flux at L3,Flux at L4,Flux at L5,Flux at GEO,L3X60_Class,L3X70_Class,L3X80_Class,L3X90_Class,L3X95_Class,L4X60_Class,L4X70_Class,L4X80_Class,L4X90_Class,L4X95_Class,L5X60_Class,L5X70_Class,L5X80_Class,L5X90_Class,L5X95_Class,GEOX60_Class,GEOX70_Class,GEOX80_Class,GEOX90_Class,GEOX95_Class
-26.56597222222222,-2.8333333333333335,3.0560247725646263,-876.0,2.9353274283830904,-10.07638888888889,2.377884789510499,522.0,2.409438177269914,525.0999755859375,442.3357645670573,2.903236055674318,-93.41319444444444,-1649.0,-343.0,-55.81597222222222,-61.010416666666664,1.403542172020486,2.8120112560737347,404.23333326975506,472.6000061035156,-10.0,2.760215254204454,-23.99652777777778,-80.66319444444444,-47.0,-24.930555555555557,-744.0,-83.5,-163.05555555555554,-32.0,-78.0,438.87256961398657,437.40607680214777,-659.0,-11.5,-956.0,-115.0,497.8786454730564,3.2513675990379083,536.0999755859375,-31.0,421.15000915527344,-55.30902777777778,-40.0,1.4322555735174043,-758.0,496.6000061035156,720.5999755859375,-301.5,-19.5,-13.0,-132.90972222222223,3.012875016328856,-250.0,-35.229166666666664,2.769017796942585,2.1584047505506905,-26.0,655.75,567.5,-22.0,-26.0,-191.54166666666666,710.9000244140625,-202.12152777777777,-18.0,439.70001220703125,-12.194444444444445,-37.0,-42.0,2.110444718254745,-9.756944444444445,-53.0,-19.0,2.8841605929419503,3.5308984575247773,3.409742930982933,459.20001220703125,-112.0,-15.0,-38.204861111111114,-25.94097222222222,-39.0,625.4069438510471,444.56153869628906,1.544383351017438,2.240210536785655,1.6760381061321168,-89.70833333333333,-707.0,480.28958257039386,-9.520833333333334,-121.0,3.4364473559379096,-70.18402777777777,-1.0,2.6064931542026724,2.8838597263406376,2.7592916017697267,-138.5,-599.0,-25.0,421.25,-121.05208333333333,1.3930853315003016,1.979119024634594,-55.0,499.0,-21.0,-102.98263888888889,-76.5,-317.40625,-451.0,2.250582924207126,2.238972698708805,-55.0,1.7989875811303169,-134.0,-702.0,1.9210177644036952,-18.0,2015-01-09 12:00:00,6.239364918948002,6.817780556491552,6.780856835468446,0.7010717597514453,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-23.99652777777778,-19.10763888888889,3.012875016328856,-599.0,2.9802618997260044,-2.8333333333333335,2.266013494401036,439.70001220703125,2.760215254204454,499.0,421.57881906297473,3.0560247725646263,-70.18402777777777,-451.0,-702.0,-202.12152777777777,-38.204861111111114,2.066359925528233,2.8838597263406376,452.87430477142334,536.0999755859375,-1.0,3.2513675990379083,-55.30902777777778,-191.54166666666666,-134.0,-80.66319444444444,-343.0,-11.5,-132.90972222222223,-138.5,-47.0,497.8786454730564,438.87256961398657,-1649.0,-115.0,-659.0,-76.5,472.5175339910719,1.979119024634594,552.2000122070312,-22.0,444.56153869628906,-35.229166666666664,-78.0,1.8497479335233769,-956.0,472.6000061035156,710.9000244140625,-83.5,-301.5,-10.0,-102.98263888888889,2.238972698708805,-707.0,-25.94097222222222,2.8120112560737347,2.903236055674318,-39.0,568.25,720.5999755859375,-55.0,-25.0,-93.41319444444444,589.9000244140625,-89.70833333333333,-54.0,421.15000915527344,-9.520833333333334,-30.0,-19.0,2.059399756332622,-12.194444444444445,-38.0,-32.0,1.9210177644036952,3.409742930982933,2.8841605929419503,567.5,-53.0,-21.0,-29.364583333333332,-61.010416666666664,-26.0,583.1293401718142,421.25,1.6760381061321168,2.6064931542026724,2.240210536785655,-317.40625,-876.0,418.67916610505847,-26.56597222222222,-42.0,3.5308984575247773,-55.81597222222222,-18.0,1.4322555735174043,3.4364473559379096,2.9353274283830904,-19.5,-744.0,-29.0,499.4499969482422,-163.05555555555554,1.7989875811303169,2.250582924207126,-40.0,521.0,-121.0,-100.55902777777777,-66.0,-121.05208333333333,-414.0,2.8838739953797097,1.544383351017438,-35.0,2.2923746615007987,-112.0,-758.0,2.409438177269914,-8.0,2015-01-10 12:00:00,6.1970239553939015,6.704681030578694,6.6247089005723545,0.667485339255373,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-55.30902777777778,-9.756944444444445,2.238972698708805,-744.0,1.964128326162116,-19.10763888888889,2.1584047505506905,421.15000915527344,3.2513675990379083,521.0,437.40607680214777,3.012875016328856,-55.81597222222222,-414.0,-758.0,-89.70833333333333,-29.364583333333332,2.464185517528105,3.4364473559379096,625.4069438510471,552.2000122070312,-18.0,1.979119024634594,-35.229166666666664,-93.41319444444444,-112.0,-191.54166666666666,-702.0,-115.0,-102.98263888888889,-19.5,-134.0,472.5175339910719,497.8786454730564,-451.0,-76.5,-1649.0,-66.0,451.03958320617676,2.250582924207126,525.0999755859375,-55.0,421.25,-25.94097222222222,-47.0,2.434123340240808,-659.0,536.0999755859375,589.9000244140625,-11.5,-83.5,-31.0,-100.55902777777777,1.544383351017438,-876.0,-61.010416666666664,2.8838597263406376,3.0560247725646263,-26.0,522.0,710.9000244140625,-35.0,-29.0,-70.18402777777777,510.6000061035156,-317.40625,-37.0,444.56153869628906,-26.56597222222222,-25.0,-32.0,2.7592916017697267,-9.520833333333334,-40.0,-138.5,2.409438177269914,2.8841605929419503,1.9210177644036952,720.5999755859375,-38.0,-121.0,-24.79861111111111,-38.204861111111114,-25.0,527.5786458651224,499.4499969482422,2.240210536785655,1.4322555735174043,2.6064931542026724,-121.05208333333333,-599.0,478.30034674538507,-23.99652777777778,-19.0,3.409742930982933,-202.12152777777777,-8.0,1.8497479335233769,3.5308984575247773,2.9802618997260044,-301.5,-343.0,-55.0,473.3999938964844,-132.90972222222223,2.2923746615007987,2.8838739953797097,-78.0,481.3999938964844,-42.0,-125.25,-74.0,-163.05555555555554,-466.0,3.206610175444394,1.6760381061321168,-18.0,2.4978579700395382,-53.0,-956.0,2.760215254204454,-13.0,2015-01-11 12:00:00,6.1886425395955875,6.270818504325783,5.437778532459054,0.2369634415248217,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-35.229166666666664,-12.194444444444445,1.544383351017438,-343.0,1.4848650721322376,-9.756944444444445,2.903236055674318,444.56153869628906,1.979119024634594,481.3999938964844,438.87256961398657,2.238972698708805,-202.12152777777777,-466.0,-956.0,-317.40625,-24.79861111111111,1.3930853315003016,3.5308984575247773,583.1293401718142,525.0999755859375,-8.0,2.250582924207126,-25.94097222222222,-70.18402777777777,-53.0,-93.41319444444444,-758.0,-76.5,-100.55902777777777,-301.5,-112.0,451.03958320617676,472.5175339910719,-414.0,-66.0,-451.0,-74.0,480.28958257039386,2.8838739953797097,499.0,-35.0,499.4499969482422,-61.010416666666664,-134.0,2.760256989983939,-1649.0,552.2000122070312,510.6000061035156,-115.0,-11.5,-22.0,-125.25,1.6760381061321168,-599.0,-38.204861111111114,3.4364473559379096,3.012875016328856,-25.0,439.70001220703125,589.9000244140625,-18.0,-55.0,-55.81597222222222,496.6000061035156,-121.05208333333333,-30.0,421.25,-23.99652777777778,-24.0,-138.5,2.9353274283830904,-26.56597222222222,-37.0,-19.5,2.760215254204454,1.9210177644036952,2.409438177269914,710.9000244140625,-40.0,-42.0,-26.083333333333332,-29.364583333333332,-29.0,442.3357645670573,473.3999938964844,2.6064931542026724,1.8497479335233769,1.4322555735174043,-163.05555555555554,-744.0,448.64878336588544,-55.30902777777778,-32.0,2.8841605929419503,-89.70833333333333,-13.0,2.434123340240808,3.409742930982933,1.964128326162116,-83.5,-702.0,-40.0,450.3000030517578,-102.98263888888889,2.4978579700395382,3.206610175444394,-47.0,641.7999877929688,-19.0,-71.51736111111111,-28.5,-132.90972222222223,-662.0,3.267646134908958,2.240210536785655,-54.0,2.820574605971717,-38.0,-659.0,3.2513675990379083,-10.0,2015-01-12 12:00:00,6.166083862815062,6.21121142280932,5.317678454054726,0.34247202278060795,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-25.94097222222222,-9.520833333333334,1.6760381061321168,-702.0,1.403542172020486,-12.194444444444445,3.0560247725646263,421.25,2.250582924207126,641.7999877929688,497.8786454730564,1.544383351017438,-89.70833333333333,-662.0,-659.0,-121.05208333333333,-26.083333333333332,1.7989875811303169,3.409742930982933,527.5786458651224,499.0,-13.0,2.8838739953797097,-61.010416666666664,-55.81597222222222,-38.0,-70.18402777777777,-956.0,-66.0,-125.25,-83.5,-53.0,480.28958257039386,451.03958320617676,-466.0,-74.0,-414.0,-28.5,418.67916610505847,3.206610175444394,521.0,-18.0,473.3999938964844,-38.204861111111114,-112.0,2.878541121179059,-451.0,525.0999755859375,496.6000061035156,-76.5,-115.0,-55.0,-71.51736111111111,2.240210536785655,-744.0,-29.364583333333332,3.5308984575247773,2.238972698708805,-29.0,421.15000915527344,510.6000061035156,-54.0,-40.0,-202.12152777777777,472.6000061035156,-163.05555555555554,-25.0,499.4499969482422,-55.30902777777778,-22.0,-19.5,2.9802618997260044,-23.99652777777778,-36.0,-301.5,3.2513675990379083,2.409438177269914,2.760215254204454,589.9000244140625,-37.0,-19.0,-24.09027777777778,-24.79861111111111,-55.0,421.57881906297473,450.3000030517578,1.4322555735174043,2.434123340240808,1.8497479335233769,-132.90972222222223,-343.0,423.51822900772095,-35.229166666666664,-138.5,1.9210177644036952,-317.40625,-10.0,2.760256989983939,2.8841605929419503,1.4848650721322376,-11.5,-758.0,-78.0,478.1499938964844,-100.55902777777777,2.820574605971717,3.267646134908958,-134.0,536.0,-32.0,-92.74652777777777,-36.0,-102.98263888888889,-321.0,2.7898151690158337,2.6064931542026724,-37.0,2.347016700025684,-40.0,-1649.0,1.979119024634594,-31.0,2015-01-13 12:00:00,5.956671369242911,6.008232968904698,5.3128492589663265,0.355854020152715,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-61.010416666666664,-26.56597222222222,2.240210536785655,-758.0,2.066359925528233,-9.520833333333334,3.012875016328856,499.4499969482422,2.8838739953797097,536.0,472.5175339910719,1.6760381061321168,-317.40625,-321.0,-1649.0,-163.05555555555554,-24.09027777777778,2.2923746615007987,2.8841605929419503,442.3357645670573,521.0,-10.0,3.206610175444394,-38.204861111111114,-202.12152777777777,-40.0,-55.81597222222222,-659.0,-74.0,-71.51736111111111,-11.5,-38.0,418.67916610505847,480.28958257039386,-662.0,-28.5,-466.0,-36.0,478.30034674538507,3.267646134908958,481.3999938964844,-54.0,450.3000030517578,-29.364583333333332,-53.0,2.407320292019275,-414.0,499.0,472.6000061035156,-66.0,-76.5,-35.0,-92.74652777777777,2.6064931542026724,-343.0,-24.79861111111111,3.409742930982933,1.544383351017438,-55.0,444.56153869628906,496.6000061035156,-37.0,-78.0,-89.70833333333333,536.0999755859375,-132.90972222222223,-24.0,473.3999938964844,-35.229166666666664,-23.0,-301.5,1.964128326162116,-55.30902777777778,-32.0,-83.5,1.979119024634594,2.760215254204454,3.2513675990379083,510.6000061035156,-36.0,-32.0,-22.89236111111111,-26.083333333333332,-40.0,437.40607680214777,478.1499938964844,1.8497479335233769,2.760256989983939,2.434123340240808,-102.98263888888889,-702.0,409.0802088313633,-25.94097222222222,-19.5,2.409438177269914,-121.05208333333333,-31.0,2.878541121179059,1.9210177644036952,1.403542172020486,-115.0,-956.0,-47.0,413.29998779296875,-125.25,2.347016700025684,2.7898151690158337,-112.0,470.6000061035156,-138.5,-106.77777777777777,-67.5,-100.55902777777777,-685.0,2.4328843322675,1.4322555735174043,-30.0,2.0845733054053928,-37.0,-451.0,2.250582924207126,-22.0,2015-01-14 12:00:00,5.922051951989529,5.93835886456054,5.2109656135785025,0.3998202033133994,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-38.204861111111114,-23.99652777777778,2.6064931542026724,-956.0,2.464185517528105,-26.56597222222222,2.238972698708805,473.3999938964844,3.206610175444394,470.6000061035156,451.03958320617676,2.240210536785655,-121.05208333333333,-685.0,-451.0,-132.90972222222223,-22.89236111111111,2.4978579700395382,1.9210177644036952,421.57881906297473,481.3999938964844,-31.0,3.267646134908958,-29.364583333333332,-89.70833333333333,-37.0,-202.12152777777777,-1649.0,-28.5,-92.74652777777777,-115.0,-40.0,478.30034674538507,418.67916610505847,-321.0,-36.0,-662.0,-67.5,448.64878336588544,2.7898151690158337,641.7999877929688,-37.0,478.1499938964844,-24.79861111111111,-38.0,2.093389077610606,-466.0,521.0,536.0999755859375,-74.0,-66.0,-18.0,-106.77777777777777,1.4322555735174043,-702.0,-26.083333333333332,2.8841605929419503,1.6760381061321168,-40.0,421.25,472.6000061035156,-30.0,-47.0,-317.40625,552.2000122070312,-102.98263888888889,-22.0,450.3000030517578,-25.94097222222222,-13.0,-83.5,1.4848650721322376,-35.229166666666664,-31.0,-11.5,2.250582924207126,3.2513675990379083,1.979119024634594,496.6000061035156,-32.0,-138.5,-14.975694444444445,-24.09027777777778,-78.0,438.87256961398657,413.29998779296875,2.434123340240808,2.878541121179059,2.760256989983939,-100.55902777777777,-758.0,399.2041672070821,-61.010416666666664,-301.5,2.760215254204454,-163.05555555555554,-22.0,2.407320292019275,2.409438177269914,2.066359925528233,-76.5,-659.0,-134.0,472.90000915527344,-71.51736111111111,2.0845733054053928,2.4328843322675,-53.0,458.20001220703125,-19.5,-58.392361111111114,-19.0,-125.25,-418.0,2.420679659021635,1.8497479335233769,-25.0,2.099618487950165,-36.0,-414.0,2.8838739953797097,-55.0,2015-01-15 12:00:00,5.868026304252406,5.887479427327571,5.894242944493457,0.46914201914609466,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
-29.364583333333332,-55.30902777777778,1.4322555735174043,-659.0,1.3930853315003016,-23.99652777777778,1.544383351017438,450.3000030517578,3.267646134908958,458.20001220703125,480.28958257039386,2.6064931542026724,-163.05555555555554,-418.0,-414.0,-102.98263888888889,-14.975694444444445,2.820574605971717,2.409438177269914,437.40607680214777,641.7999877929688,-22.0,2.7898151690158337,-24.79861111111111,-317.40625,-36.0,-89.70833333333333,-451.0,-36.0,-106.77777777777777,-76.5,-37.0,448.64878336588544,478.30034674538507,-685.0,-67.5,-321.0,-19.0,423.51822900772095,2.4328843322675,536.0,-30.0,413.29998779296875,-26.083333333333332,-40.0,2.09847508102168,-662.0,481.3999938964844,552.2000122070312,-28.5,-74.0,-54.0,-58.392361111111114,1.8497479335233769,-758.0,-24.09027777777778,1.9210177644036952,2.240210536785655,-78.0,499.4499969482422,536.0999755859375,-25.0,-134.0,-121.05208333333333,525.0999755859375,-100.55902777777777,-23.0,478.1499938964844,-61.010416666666664,-13.0,-11.5,1.403542172020486,-25.94097222222222,-25.0,-115.0,2.8838739953797097,1.979119024634594,2.250582924207126,472.6000061035156,-31.0,-19.5,-12.972222222222221,-22.89236111111111,-47.0,497.8786454730564,472.90000915527344,2.760256989983939,2.407320292019275,2.878541121179059,-125.25,-956.0,394.5477435323927,-38.204861111111114,-83.5,3.2513675990379083,-132.90972222222223,-55.0,2.093389077610606,2.760215254204454,2.464185517528105,-66.0,-1649.0,-112.0,444.0766581217447,-92.74652777777777,2.099618487950165,2.420679659021635,-38.0,440.6000061035156,-301.5,-72.96180555555556,-23.5,-71.51736111111111,-474.0,2.3698692390329708,2.434123340240808,-24.0,2.062241818342648,-32.0,-466.0,3.206610175444394,-35.0,2015-01-16 12:00:00,5.773201472006436,6.231963303811948,6.239787573496501,0.5519236367132949,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
-24.79861111111111,-35.229166666666664,1.8497479335233769,-1649.0,1.7989875811303169,-55.30902777777778,1.6760381061321168,478.1499938964844,2.7898151690158337,440.6000061035156,418.67916610505847,1.4322555735174043,-132.90972222222223,-474.0,-466.0,-100.55902777777777,-12.972222222222221,2.347016700025684,2.760215254204454,438.87256961398657,536.0,-55.0,2.4328843322675,-26.083333333333332,-121.05208333333333,-32.0,-317.40625,-414.0,-67.5,-58.392361111111114,-66.0,-36.0,423.51822900772095,448.64878336588544,-418.0,-19.0,-685.0,-23.5,409.0802088313633,2.420679659021635,470.6000061035156,-25.0,472.90000915527344,-24.09027777777778,-37.0,2.042264264646857,-321.0,641.7999877929688,525.0999755859375,-36.0,-28.5,-37.0,-72.96180555555556,2.434123340240808,-956.0,-22.89236111111111,2.409438177269914,2.6064931542026724,-47.0,473.3999938964844,552.2000122070312,-24.0,-112.0,-163.05555555555554,499.0,-125.25,-13.0,413.29998779296875,-38.204861111111114,-17.0,-115.0,2.066359925528233,-61.010416666666664,-27.0,-76.5,3.206610175444394,2.250582924207126,2.8838739953797097,536.0999755859375,-25.0,-301.5,-16.506944444444443,-14.975694444444445,-134.0,472.5175339910719,444.0766581217447,2.878541121179059,2.093389077610606,2.407320292019275,-71.51736111111111,-659.0,355.4307288063896,-29.364583333333332,-11.5,1.979119024634594,-102.98263888888889,-35.0,2.09847508102168,3.2513675990379083,1.3930853315003016,-74.0,-451.0,-53.0,420.4499969482422,-106.77777777777777,2.062241818342648,2.3698692390329708,-40.0,439.79998779296875,-83.5,-68.69791666666667,-44.0,-92.74652777777777,-564.0,2.212724044401621,2.760256989983939,-22.0,1.7421554215257735,-31.0,-662.0,3.267646134908958,-18.0,2015-01-17 12:00:00,5.786866043462773,6.2545915298983905,6.237108062880636,0.5502569623932181,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
-26.083333333333332,-25.94097222222222,2.434123340240808,-451.0,2.2923746615007987,-35.229166666666664,2.240210536785655,413.29998779296875,2.4328843322675,439.79998779296875,478.30034674538507,1.8497479335233769,-102.98263888888889,-564.0,-662.0,-125.25,-16.506944444444443,2.0845733054053928,3.2513675990379083,497.8786454730564,470.6000061035156,-35.0,2.420679659021635,-24.09027777777778,-163.05555555555554,-31.0,-121.05208333333333,-466.0,-19.0,-72.96180555555556,-74.0,-32.0,409.0802088313633,423.51822900772095,-474.0,-23.5,-418.0,-44.0,399.2041672070821,2.3698692390329708,458.20001220703125,-24.0,444.0766581217447,-22.89236111111111,-36.0,1.8415002442579609,-685.0,536.0,499.0,-67.5,-36.0,-30.0,-68.69791666666667,2.760256989983939,-659.0,-14.975694444444445,2.760215254204454,1.4322555735174043,-134.0,450.3000030517578,525.0999755859375,-22.0,-53.0,-132.90972222222223,521.0,-71.51736111111111,-13.0,472.90000915527344,-29.364583333333332,-8.0,-76.5,2.464185517528105,-38.204861111111114,-13.0,-66.0,3.267646134908958,2.8838739953797097,3.206610175444394,552.2000122070312,-27.0,-83.5,-7.09375,-12.972222222222221,-112.0,451.03958320617676,420.4499969482422,2.407320292019275,2.09847508102168,2.093389077610606,-92.74652777777777,-1649.0,340.43680593702527,-24.79861111111111,-115.0,2.250582924207126,-100.55902777777777,-18.0,2.042264264646857,1.979119024634594,1.7989875811303169,-28.5,-414.0,-38.0,404.43750190734863,-58.392361111111114,1.7421554215257735,2.212724044401621,-37.0,381.6000061035156,-11.5,-16.28125,-12.0,-106.77777777777777,-272.0,2.3541983608985584,2.878541121179059,-23.0,1.9739985816261756,-25.0,-321.0,2.7898151690158337,-54.0,2015-01-18 12:00:00,5.705906296899828,5.966991964982513,5.892026306625204,0.4782740763093675,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
